index,xy,inc,scat,tot
"(-2.230769230769231, -2.6923076923076925)",[-2.23076923 -2.69230769],(0.8539242360775697+0.5203973472639335j),(-0.1555447367951261+0.19065388782154713j),(0.6983794992824437+0.7110512350854806j)
"(-2.0769230769230766, -2.6923076923076925)",[-2.07692308 -2.69230769],(0.024217673756508257+0.9997067091291442j),(-0.010301967387079596+0.2546841493642655j),(0.013915706369428661+1.2543908584934096j)
"(-1.923076923076923, -2.6923076923076925)",[-1.92307692 -2.69230769],(-0.8277243564750517+0.56113491220736j),(0.1413636013241523+0.22401557084377932j),(-0.6863607551508994+0.7851504830511393j)
"(-1.7692307692307692, -2.6923076923076925)",[-1.76923077 -2.69230769],(-0.9196909013571446-0.3926431534623811j),(0.24887825002934824+0.11949363195679746j),(-0.6708126513277963-0.27314952150558364j)
"(-1.6153846153846154, -2.6923076923076925)",[-1.61538462 -2.69230769],(-0.16724283687955155-0.9859157334744586j),(0.28772036555407327-0.019250218832152916j),(0.12047752867452172-1.0051659523066114j)
"(-1.4615384615384615, -2.6923076923076925)",[-1.46153846 -2.69230769],(0.7387593125231631-0.6739693451191259j),(0.2597258002238327-0.15306700931275208j),(0.9984851127469958-0.827036354431878j)
"(-1.3076923076923075, -2.6923076923076925)",[-1.30769231 -2.69230769],(0.9664692711751117+0.25678229665272545j),(0.18410423858001387-0.25549189602293526j),(1.1505735097551255+0.0012904006297901893j)
"(-1.1538461538461537, -2.6923076923076925)",[-1.15384615 -2.69230769],(0.30681503945266814+0.9517691587594429j),(0.08623438341645132-0.31638843270662376j),(0.3930494228691195+0.6353807260528191j)
"(-1.0, -2.6923076923076925)",[-1.         -2.69230769],(-0.634541556947723+0.7728887452320415j),(-0.011055259107123527-0.3393571423162803j),(-0.6455968160548465+0.43353160291576126j)
"(-0.8461538461538458, -2.6923076923076925)",[-0.84615385 -2.69230769],(-0.9932935411443612-0.11561981283886971j),(-0.09194476905843124-0.33624311997836825j),(-1.0852383102027925-0.451862932817238j)
"(-0.6923076923076921, -2.6923076923076925)",[-0.69230769 -2.69230769],(-0.4400526195862342-0.8979719884246351j),(-0.148127439822051-0.32143520079274573j),(-0.5881800594082852-1.2194071892173808j)
"(-0.5384615384615383, -2.6923076923076925)",[-0.53846154 -2.69230769],(0.5172228099976701-0.8558507842013782j),(-0.1767193100218924-0.3074401235734149j),(0.3405034999757777-1.163290907774793j)
"(-0.3846153846153846, -2.6923076923076925)",[-0.38461538 -2.69230769],(0.9996098869713541-0.027929802525557868j),(-0.17724166430850163-0.3020623994015866j),(0.8223682226628525-0.32999220192714446j)
"(-0.23076923076923084, -2.6923076923076925)",[-0.23076923 -2.69230769],(0.5642047024652048+0.8256349397379872j),(-0.1492354875328163-0.306770882626045j),(0.41496921493238853+0.5188640571119422j)
"(-0.07692307692307665, -2.6923076923076925)",[-0.07692308 -2.69230769],(-0.38922528007691914+0.9211425955567595j),(-0.09177040529201907-0.3157270505713633j),(-0.4809956853689382+0.6054155449853962j)
"(0.0769230769230771, -2.6923076923076925)",[ 0.07692308 -2.69230769],(-0.9852878989275351+0.17090276834201198j),(-0.005654387543972973-0.3155843179627286j),(-0.9909422864715081-0.14468154962071664j)
"(0.23076923076923084, -2.6923076923076925)",[ 0.23076923 -2.69230769],(-0.6767079959787141-0.7362515114948646j),(0.10175106506609007-0.2872995076613156j),(-0.574956930912624-1.02355101915618j)
"(0.384615384615385, -2.6923076923076925)",[ 0.38461538 -2.69230769],(0.2531916538891273-0.9674161392084011j),(0.21097036094619723-0.21199543401336543j),(0.4641620148353245-1.1794115732217665j)
"(0.5384615384615388, -2.6923076923076925)",[ 0.53846154 -2.69230769],(0.9506232743392256-0.31034720924243775j),(0.28842286095854663-0.0819551070606595j),(1.2390461352977722-0.39230231630309725j)
"(0.6923076923076925, -2.6923076923076925)",[ 0.69230769 -2.69230769],(0.7752397134443204+0.6316671486619896j),(0.29375010402816626+0.08606460719692799j),(1.0689898174724868+0.7177317558589176j)
"(0.8461538461538463, -2.6923076923076925)",[ 0.84615385 -2.69230769],(-0.11193053450186087+0.9937160336062449j),(0.1994590035499686+0.24385670758250638j),(0.08752846904810772+1.2375727411887514j)
"(1.0, -2.6923076923076925)",[ 1.         -2.69230769],(-0.8963317125058065+0.443384101154302j),(0.016916174880268718+0.32280691480778495j),(-0.8794155376255377+0.7661910159620869j)
"(1.1538461538461542, -2.6923076923076925)",[ 1.15384615 -2.69230769],(-0.8577655307637676-0.5140411406040882j),(-0.1888892138609057+0.26804930023319357j),(-1.0466547446246732-0.24599184037089467j)
"(1.3076923076923084, -2.6923076923076925)",[ 1.30769231 -2.69230769],(-0.03164154616288938-0.9994992809184116j),(-0.3168538296402905+0.08272170425236054j),(-0.3484953758031799-0.916777576666051j)
"(1.4615384615384617, -2.6923076923076925)",[ 1.46153846 -2.69230769],(0.8235341380940815-0.5672667127495129j),(-0.2847075561818476-0.14977461827752517j),(0.5388265819122339-0.717041331027038j)
"(1.6153846153846159, -2.6923076923076925)",[ 1.61538462 -2.69230769],(0.9225815878682447+0.38580203955721687j),(-0.09403822951221251-0.296939493765125j),(0.8285433583560322+0.08886254579209185j)
"(1.7692307692307692, -2.6923076923076925)",[ 1.76923077 -2.69230769],(0.17456034317928915+0.9846464779752827j),(0.1467260146322716-0.2597932429924322j),(0.3212863578115608+0.7248532349828505j)
"(1.9230769230769234, -2.6923076923076925)",[ 1.92307692 -2.69230769],(-0.7337335580923534+0.679437315525969j),(0.27875094442036147-0.055239056817640214j),(-0.45498261367199194+0.6241982587083288j)
"(2.0769230769230775, -2.6923076923076925)",[ 2.07692308 -2.69230769],(-0.9683496672749637-0.2495975197963054j),(0.20639387988229235+0.17490620186841457j),(-0.7619557873926714-0.07469131792789083j)
"(2.230769230769231, -2.6923076923076925)",[ 2.23076923 -2.69230769],(-0.31387509956934007-0.9494642815137054j),(-0.01654515665480278+0.25812907157529624j),(-0.33042025622414284-0.6913352099384091j)
"(2.384615384615385, -2.6923076923076925)",[ 2.38461538 -2.69230769],(0.6287840301445328-0.7775799916633653j),(-0.2127368111140049+0.12970494006289598j),(0.4160472190305279-0.6478750516004693j)
"(2.5384615384615383, -2.6923076923076925)",[ 2.53846154 -2.69230769],(0.9941248234449381+0.1082397127239837j),(-0.21975843499163478-0.10163687989448267j),(0.7743663884533034+0.006602832829501026j)
"(2.6923076923076925, -2.6923076923076925)",[ 2.69230769 -2.69230769],(0.44670946877727435+0.8946790768229272j),(-0.0332981741071067-0.23490015671667705j),(0.4134112946701677+0.6597789201062502j)
"(2.8461538461538467, -2.6923076923076925)",[ 2.84615385 -2.69230769],(-0.5108523829560981+0.8596684493617734j),(0.17856931198751916-0.15128480491107957j),(-0.332283070968579+0.7083836444506939j)
"(3.0, -2.6923076923076925)",[ 3.         -2.69230769],(-0.9993748924954933+0.03535285348626502j),(0.22055351789199895+0.07188778300807289j),(-0.7788213746034943+0.1072406364943379j)
"(-3.0, -2.5384615384615383)",[-3.         -2.53846154],(-0.7448619107860498+0.6672186552099355j),(0.10105389238825668-0.19227379054019678j),(-0.6438080183977931+0.47494486466973873j)
"(-2.8461538461538463, -2.5384615384615383)",[-2.84615385 -2.53846154],(-0.9640925084439796-0.26556663036269285j),(-0.07662589232310947-0.20850728253604195j),(-1.040718400767089-0.4740739128987348j)
"(-2.6923076923076925, -2.5384615384615383)",[-2.69230769 -2.53846154],(-0.29814114148422194-0.9545217963747529j),(-0.20867319438852602-0.0906986104371657j),(-0.5068143358727479-1.0452204068119186j)
"(-2.5384615384615383, -2.5384615384615383)",[-2.53846154 -2.53846154],(0.6415486468831529-0.7670823513042101j),(-0.21782578318213874+0.08411066649443441j),(0.4237228637010142-0.6829716848097757j)
"(-2.3846153846153846, -2.5384615384615383)",[-2.38461538 -2.53846154],(0.9922002603118947+0.12465409514736522j),(-0.10591202026915911+0.21558309025855243j),(0.8862882400427355+0.34023718540591763j)
"(-2.230769230769231, -2.5384615384615383)",[-2.23076923 -2.53846154],(0.4318627642675479+0.9019393288016619j),(0.06209234748531556+0.23987787708042438j),(0.49395511175286344+1.1418172058820864j)
"(-2.0769230769230766, -2.5384615384615383)",[-2.07692308 -2.53846154],(-0.5249897205060046+0.8511085673185456j),(0.20475251460877744+0.15441773617927318j),(-0.32023720589722715+1.0055263034978188j)
"(-1.923076923076923, -2.5384615384615383)",[-1.92307692 -2.53846154],(-0.9998226603381379+0.01883209691904994j),(0.26634196159661444+0.004342983241768294j),(-0.7334806987415234+0.023175080160818234j)
"(-1.7692307692307692, -2.5384615384615383)",[-1.76923077 -2.53846154],(-0.5566679807292675-0.8307350716268093j),(0.2338985444571961-0.14965340234848976j),(-0.3227694362720714-0.980388473975299j)
"(-1.6153846153846154, -2.5384615384615383)",[-1.61538462 -2.53846154],(0.397591652507943-0.9175624653700712j),(0.12979225640643233-0.259741279246578j),(0.5273839089143753-1.1773037446166492j)
"(-1.4615384615384615, -2.5384615384615383)",[-1.46153846 -2.53846154],(0.98680233349202-0.16192947420004875j),(-0.007438090827150962-0.30417546920882393j),(0.979364242664869-0.46610494340887265j)
"(-1.3076923076923075, -2.5384615384615383)",[-1.30769231 -2.53846154],(0.6699800139089729+0.7423791355921396j),(-0.14119826347194547-0.2859927541849323j),(0.5287817504370274+0.45638638140720733j)
"(-1.1538461538461537, -2.5384615384615383)",[-1.15384615 -2.53846154],(-0.2619847528690048+0.9650720124758393j),(-0.2473998175546362-0.22387971251975244j),(-0.509384570423641+0.7411922999560868j)
"(-1.0, -2.5384615384615383)",[-1.         -2.53846154],(-0.953408102497344+0.30168359268016903j),(-0.31701310281561845-0.14185858948972666j),(-1.2704212053129624+0.15982500319044238j)
"(-0.8461538461538458, -2.5384615384615383)",[-0.84615385 -2.53846154],(-0.7694593795710314-0.6386957516612768j),(-0.35317198990731963-0.061689969802408755j),(-1.122631369478351-0.7003857214636855j)
"(-0.6923076923076921, -2.5384615384615383)",[-0.69230769 -2.53846154],(0.12096881429473288-0.9926563080785445j),(-0.36582303194742244+0.0008153587784261538j),(-0.24485421765268955-0.9918409493001183j)
"(-0.5384615384615383, -2.5384615384615383)",[-0.53846154 -2.53846154],(0.9003294376140691-0.43520903456331644j),(-0.3661443662754227+0.036130823684468356j),(0.5341850713386465-0.3990782108788481j)
"(-0.3846153846153846, -2.5384615384615383)",[-0.38461538 -2.53846154],(0.8530521881045602+0.5218256072386847j),(-0.36194795665808915+0.03947422259254017j),(0.49110423144647103+0.5612998298312248j)
"(-0.23076923076923084, -2.5384615384615383)",[-0.23076923 -2.53846154],(0.022544693391163863+0.9997458361003052j),(-0.3545058236620865+0.009239875679555089j),(-0.3319611302709226+1.0089857117798604j)
"(-0.07692307692307665, -2.5384615384615383)",[-0.07692308 -2.53846154],(-0.8286622215676034+0.5597489817289928j),(-0.33703668541088005-0.05288295017576175j),(-1.1656989069784833+0.5068660315532311j)
"(0.0769230769230771, -2.5384615384615383)",[ 0.07692308 -2.53846154],(-0.9190325499258316-0.39418164870630884j),(-0.2955991696420658-0.13919095179431887j),(-1.2146317195678975-0.5333726005006277j)
"(0.23076923076923084, -2.5384615384615383)",[ 0.23076923 -2.53846154],(-0.16559273458329155-0.9861942233927491j),(-0.21392335734684975-0.23150356984901116j),(-0.3795160919301413-1.2176977932417603j)
"(0.384615384615385, -2.5384615384615383)",[ 0.38461538 -2.53846154],(0.739886123528526-0.6727321340696687j),(-0.08344438706475846-0.2985235228269966j),(0.6564417364637676-0.9712556568966653j)
