index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)"
"(-0.5384615384615383, 0.8461538461538463)",(0.007577931490093316+0.021107036579721315j),(0.006032636039419956-0.012810849189189222j),(-0.0056364273626643615+0.010143535339917827j),(-0.002284442185062451-0.011087010664403665j),(-0.0059735445366316834+0.05906146048753315j),(-0.009730062800392366-0.006598854985527589j),(0.0007815943720016123+0.011320319819548187j),(-0.00020577152102712305-0.013648779532160479j),(0.011351022433102246+0.01261859678573392j),(-0.01451811378058253+0.013740073833132908j),(-0.02101066782332253+0.003751054348461572j),(-0.01686861281070749+0.01139615625491644j)
"(0.5384615384615388, 0.8461538461538463)",(-0.0006999311779339705+0.0174987565228562j),(-0.009730062800392358-0.006598854985527584j),(-0.0059735445366315585+0.05906146048753319j),(-0.0022844421850624556-0.011087010664403677j),(-0.005636427362664365+0.0101435353399178j),(0.006032636039419964-0.012810849189189202j),(0.007062964595080352+0.016043478454799847j),(-0.016868612810707506+0.011396156254916396j),(-0.021010667823322546+0.0037510543484615367j),(-0.014518113780582568+0.01374007383313287j),(0.01135102243310219+0.01261859678573396j),(-0.00020577152102707307-0.01364877953216045j)
"(0.6923076923076925, 0.8461538461538463)",(0.00697503896083959+0.014727479737931655j),(-0.018007645383735185+0.0017239509138714188j),(-0.02845788318032186+0.031931366005148946j),(0.008600194869647007-0.005104791234675702j),(-0.010794296214505849-0.001244748864303383j),(0.013912866642713316-7.359464884625849e-05j),(-0.009912718351612221+0.014466136671486437j),(-0.019605592260890505-0.005069169408322903j),(-0.018667070193885662-0.009048693150788342j),(-0.017374151365804773+0.007080363139919081j),(0.009154732166035169+0.012258788803214309j),(-0.0025135246166391105-0.011605518659394336j)
"(0.8461538461538463, 0.8461538461538463)",(0.010869800459647519+0.011274645837176528j),(-0.029351917422758323-0.0037778265570271243j),(-0.029351917422758347-0.0037778265570271017j),(0.007135777683960353+0.0055993657068723j),(-0.0028713455636466723-0.009848828251371495j),(0.005895744584429543+0.012308838842340868j),(-0.017412520199601444-0.0011253161541013457j),(-0.008389846284115146-0.018159483606344253j),(-0.008389846284115146-0.01815948360634427j),(-0.017412520199601468-0.0011253161541013947j),(0.005895744584429521+0.01230883884234088j),(-0.0028713455636466727-0.009848828251371513j)
"(1.0, 0.8461538461538463)",(0.012579068713852915+0.009875262414595258j),(-0.026673241493161644-0.022793349685797114j),(-0.0069403904059751826-0.020933631615548596j),(-0.002301186522593759+0.008035257770331098j),(0.00754042900375629-0.006176088257894461j),(-0.00847288822318019+0.010351188537259907j),(-0.007616695895682333-0.015527421320000718j),(0.00915330105798405-0.01740050073291671j),(0.005768105482162233-0.018293882679834717j),(-0.013404444830764133-0.008972321965467468j),(0.0018446337038713354+0.011969560648968331j),(-0.001997472129994422-0.00870247482446607j)
"(1.1538461538461542, 0.8461538461538463)",(0.012592803298040266+0.011874170937606711j),(-0.003852961775448937-0.03589296603988317j),(0.013549690402324942-0.01196145975071017j),(-0.007737303945251169+0.000905275816427099j),(0.008258928168829739+0.0042901446867829865j),(-0.01269753331527121-0.003248439712894535j),(0.00975261847082198-0.014041491399240779j),(0.019061402757881013-0.0027292057389178715j),(0.016238360336163004-0.00849318835893j),(-0.0056354245983697175-0.013752564371588729j),(-0.002482593293023034+0.01045525126070858j),(-0.0003441297306100226-0.007934629042493974j)
"(1.3076923076923084, 0.8461538461538463)",(0.00888112406918725+0.016880423087560603j),(0.023990224537597606-0.02509323243773077j),(0.01409272358946525+0.006805463342555642j),(-0.003621712915437948-0.00636493715390826j),(-0.0006378761636320977+0.008899729682368967j),(-0.0023344894473600842-0.012627510944925624j),(0.01676573729792137+0.0018535431560689159j),(0.012760740690212196+0.013824079269000105j),(0.016462841307454366+0.005843557246643066j),(0.0035539109926924833-0.013211525199019929j),(-0.0061924299171616905+0.007304328942890536j),(0.0018510524724896296-0.007052958480812655j)
"(1.4615384615384617, 0.8461538461538463)",(-0.0009979176347330292+0.020665490912735042j),(0.032115369398840014+0.0045116293061355775j),(-0.0007021017193869132+0.013978038979133266j),(0.004189147150815392-0.005521554888489453j),(-0.008098813188001411+0.0028426098751823474j),(0.010284104996978944-0.007252626252098653j),(0.006131845929717953+0.015449068753167393j),(-0.0043996552495936+0.01781717584494443j),(0.006050506618580585+0.015496980302062782j),(0.010378397624148859-0.007152656086843484j),(-0.008155304527165114+0.0027235083622647624j),(0.004288042222139143-0.0054410946200670945j)
"(1.6153846153846159, 0.8461538461538463)",(-0.014605515305130962+0.016293606736952182j),(0.012503524364941966+0.027277658845437706j),(-0.011992727059079968+0.004409906366005632j),(0.0064028130149581825+0.0015812009389814174j),(-0.005631345167551258-0.006070660888003404j),(0.010664087283180353+0.00620135342173832j),(-0.01069988742513635+0.012382346133407688j),(-0.016955068702030285+0.0056952251240893976j),(-0.007807142406280743+0.013783445457837357j),(0.011510531634268009+0.0017136731382454559j),(-0.007469876556078003-0.002225098687124364j),(0.006271819394709241-0.002576214073067053j)
"(1.7692307692307692, 0.8461538461538463)",(-0.02260584444694543+0.0011410978027749426j),(-0.015886335694593613+0.02276007789066365j),(-0.00813029315600458-0.008598199377222403j),(0.0010455300611263434+0.006216469705215808j),(0.0032042034430291946-0.007338955627951672j),(-0.0011860268876600982+0.01203940893914513j),(-0.015646873524877227-0.00380937984498013j),(-0.01337786701572579-0.011162914425563735j),(-0.014940163536278249+0.0021291849661959814j),(0.00635636621509269+0.008703101080967179j),(-0.004096264030932458-0.005848293924720045j),(0.006621647300685257+0.0014581394469286308j)
"(1.9230769230769234, 0.8461538461538463)",(-0.015786214840872583-0.016768104842949355j),(-0.025629848205364705-0.0026842945176482696j),(0.004376138727073301-0.010171967098203873j),(-0.005069567491811489+0.0032977063352938995j),(0.00776102306962805-2.8633898927256838e-06j),(-0.011231852371073502+0.0038370253447343496j),(-0.003602990950196562-0.015427395929532814j),(0.0026513896630394073-0.01676245189319787j),(-0.01007416258506084-0.010275837930911491j),(-0.0019633837802895023+0.009821892582869841j),(0.0007290773112348339-0.006570239042824812j),(0.004246702613769966+0.0053996408299708575j)
"(2.0769230769230775, 0.8461538461538463)",(0.0038348757229910765-0.02284051049689458j),(-0.00895784833771129-0.022319317922337305j),(0.010444306853640855-2.4962735037062753e-05j),(-0.00485923230437548-0.0032040821793223612j),(0.0030246544638340704+0.006902193664261369j),(-0.007988970244933577-0.00847996294570656j),(0.011990368058056729-0.009953890718734924j),(0.015410574147643368-0.005985157900414796j),(0.0024803912618178553-0.013513321396501368j),(-0.008137729033071889+0.0045938481138284295j),(0.00475284957779089-0.003953522691506081j),(-0.0006297158316909739+0.006976742829402914j)
"(2.230769230769231, 0.8461538461538463)",(0.020888255329446798-0.009871909258965212j),(0.014827406531353764-0.017010660233418587j),(0.003972226868796295+0.009081725919445742j),(0.0009557596026246995-0.005535109930334646j),(-0.0049671119348599435+0.005389526701184974j),(0.004346150325270469-0.010583687591273486j),(0.014004946941192264+0.0062322956801391695j),(0.012497669776610099+0.010164687687446215j),(0.012023404478764026-0.005290815335977722j),(-0.0081501104277708-0.0031917806111105996j),(0.005798569941513414+0.0006522433146265703j),(-0.0056242583911983515+0.00442783997460777j)
"(2.384615384615385, 0.8461538461538463)",(0.019503581760603454+0.012036575022864662j),(0.020593767446941927+0.005368225872549959j),(-0.006427881790126932+0.006933778289861623j),(0.00527559907877688-0.001300122523007126j),(-0.00675139874169255-0.00232051822951747j),(0.011234368904228739-0.000395151726875809j),(0.0005561727680731952+0.015069932098480145j),(-0.002717007435035256+0.015467401873714471j),(0.010550652181742844+0.006848947089420399j),(-0.0023227140745367353-0.00789565348677512j),(0.0032184677427729846+0.004524839092114131j),(-0.0071728689195399795-0.0014117667463933344j)
"(2.5384615384615383, 0.8461538461538463)",(-2.264710906701127e-05+0.02264855569743577j),(0.0039897574199161045+0.019766320263440804j),(-0.008549930683475914-0.0029842780888282264j),(0.003207323547383228+0.004177491758519127j),(-0.0005763688143867845-0.006939073722190389j),(0.004898889372472811+0.009904805595691868j),(-0.01309709067673009+0.00697337015675086j),(-0.014503168620894792+0.004926381257201908j),(-0.00010957568520493353+0.012063690612103332j),(0.004680379258289748-0.00619955411257888j),(-0.001330964335259962+0.005152414257782368j),(-0.0034151945433741524-0.006623372004658795j)
"(2.6923076923076925, 0.8461538461538463)",(-0.019242768889502004+0.011316113827842833j),(-0.015304720180583983+0.01157087583111187j),(-0.0006658063810179328-0.00867809707271282j),(-0.002462916987629567+0.004482358097502262j),(0.005976424226757251-0.0032425039914801266j),(-0.0068997196767429814+0.008395769724295262j),(-0.011781975044096994-0.008626637219441959j),(-0.010949936404384152-0.01017521145280783j),(-0.009907837453176893+0.006011943372364364j),(0.007355013863882335+0.00020215848236265259j),(-0.004684938923746134+0.0020922250808485554j),(0.0033413703916817306-0.006800944210012886j)
"(2.8461538461538467, 0.8461538461538463)",(-0.019038409526455885-0.01095456296403442j),(-0.01625283424769534-0.008460548167136326j),(0.0074045117704427885-0.003944813464544757j),(-0.004955166713111071-0.0004395765875612312j),(0.005254227692748264+0.004071085941620033j),(-0.01031934516860709-0.002798566199430238j),(0.0026439551075219574-0.014129252735180177j),(0.0037540520785431125-0.01410511612402183j),(-0.009881125064238229-0.005166674810655591j),(0.0038030490644668227+0.005868170542669544j),(-0.00435933052510481-0.0023916216834672242j),(0.007593124596142258-0.0011824304548104716j)
"(3.0, 0.8461538461538463)",(0.00038271777423344675-0.021584902478782423j),(0.0007057488355947202-0.01754181018573166j),(0.0063656379272281636+0.0050214493066035775j),(-0.0015508824760930673-0.004590782010560789j),(-0.0015743596660422853+0.006310790023190413j),(-0.0016537911360178631-0.010393703414750084j),(0.013678910347939038-0.003635820928991131j),(0.013907867727729522-0.0031563054492286325j),(-0.0005599857467305045-0.010730109376922476j),(-0.002645669994624084+0.006119220267881084j),(-0.0006088638405500473-0.00480059316001564j),(0.005259442598033798+0.005723984352288702j)
"(-3.0, 1.0)",(0.017198128641437466+0.0012228278020936616j),(-0.00020979176538175458-0.010044303445110024j),(-0.0016614655249384427+0.005937391154935742j),(-0.0017131247310702945-0.00454252937370222j),(0.006543047838429518+0.005769326322389421j),(0.005112684309760407-0.017381363007873595j),(0.008516630388752923-0.01368471413881145j),(0.0008658714192464462+0.007150135678488512j),(0.0025236009810666554-0.0041016796921718255j),(-0.005889533623681599+0.0035976834111978674j),(0.004939704030250335-0.009884956057009741j),(0.014135234892977315+0.0024524280993859543j)
"(-2.8461538461538463, 1.0)",(0.008781470137747086-0.015128996816805566j),(-0.00935087915074776-0.004033317012312613j),(0.004852724966837967+0.003994367840061705j),(-0.0049784171633469225-0.0002578075718322084j),(0.00824107007070487-0.0037846871507123685j),(-0.013914704738718366-0.012790981359715648j),(-0.007486390462302498-0.01438617301901879j),(0.0062254134551263645+0.00342302634394347j),(-0.001763480425820104-0.004640803517637993j),(-0.00045019182912692154+0.007229464691497436j),(-0.006035088344726583-0.009744286993812573j),(0.009104237542161638-0.011499700260065766j)
"(-2.6923076923076925, 1.0)",(-0.00983052878684692-0.014780010128166154j),(-0.007662374360528374+0.006920459537493152j),(0.005727190225503207-0.002883505907470416j),(-0.002292350314746223+0.004585403183829788j),(-0.0001194710690263894-0.009456418572672915j),(-0.018476485185136306+0.007037799903296811j),(-0.016223711099541075-0.0011466350909136401j),(0.00638828019325273-0.002845747398951555j),(-0.004887207029179142-0.0015952114451840166j),(0.005885459227501087+0.004847396612807711j),(-0.011903832760523484-0.00011005716477035932j),(-0.005799300391199412-0.013835669335493172j)
"(-2.5384615384615383, 1.0)",(-0.017872673610092368+0.002256651693184698j),(0.003139552505452747+0.009988605856880644j),(-0.0003330540728046524-0.006538457027989315j),(0.003385686928864788+0.0040525138847466256j),(-0.00909568540717736-0.003905641865639977j),(-0.0022216534777468985+0.02062433254863746j),(-0.00970343702877534+0.01302229890912112j),(0.0017685370470351437-0.006640134543764523j),(-0.004558582962736041+0.0028034482100635742j),(0.00782595538525844-0.001889090494920183j),(-0.006838508771915436+0.010320351792703217j),(-0.015249708908471845-0.0017525905073536457j)
"(-2.3846153846153846, 1.0)",(-0.006089551685155396+0.01723980133299185j),(0.010534749169667587+0.0013413759214275368j),(-0.006251067705371707-0.0023847016828527977j),(0.0052291861670460136-0.001534950254234632j),(-0.007638756461029305+0.007066694672472334j),(0.01816134708146316+0.012113803839136222j),(0.005328742244761107+0.015215545667329555j),(-0.0037806275092192652-0.00558379343202521j),(-0.0010086469453330625+0.0055132445586045615j),(0.0035433832201003765-0.007756918317372676j),(0.004973129765755284+0.011894568673080978j),(-0.00930334719066039+0.012660718740777155j)
"(-2.230769230769231, 1.0)",(0.012808499196249386+0.013427694452941188j),(0.005714598866951037-0.009132349002730899j),(-0.004810905068701737+0.004867463910875744j),(0.0006974104649034741-0.005593103560920285j),(0.0035337980425442722+0.010413699871568647j),(0.0203410204208067-0.010831730997797006j),(0.015235972019033579+0.004479624632233291j),(-0.006528682467044916-0.0010722006583559485j),(0.0034611676136673893+0.004790844724096295j),(-0.003974867407933824-0.008145100074284258j),(0.013149993355995029+0.002787214119612665j),(0.006394516115758348+0.014758955986165648j)
"(-2.0769230769230766, 1.0)",(0.018059989731838783-0.005339554828665295j),(-0.005968209595937759-0.009156004346959621j),(0.002576008729502623+0.006517227741228952j),(-0.005034632945506901-0.0029668390248359855j),(0.01164476366390592+0.0010885999272282668j),(0.00048259680659116464-0.024390199632659586j),(0.01255394344688683-0.009064962817221855j),(-0.005368199312669709+0.0036696577954316253j),(0.006185110015045686+0.0010902122691197433j),(-0.009339036203537125-0.0024857024678332945j),(0.010362917899423783-0.0094596126124459j),(0.0163305622136336+0.0021261795765451603j)
"(-1.923076923076923, 1.0)",(0.0036546938611364864-0.018756262668061942j),(-0.010976995309869593+0.001568772700982167j),(0.007178893721112762+0.00027340092982940876j),(-0.004905248107243617+0.003585700117999588j),(0.006175884050280618-0.010910664105351514j),(-0.02206357614700331-0.013515077234359922j),(0.0011982940098467965-0.014850252067421679j),(-0.0017010328359931956+0.006192200794531006j),(0.005716757706774097-0.003550431077793879j),(-0.008718596428414244+0.0055559576932350625j),(-0.0014403454961865948-0.014589093426873092j),(0.010590839185450687-0.013118231380160337j)
"(-1.7692307692307692, 1.0)",(-0.015086738725396197-0.012168623635365604j),(-0.0032786758421567497+0.01076095357269436j),(0.003221456816184887-0.00663310961793951j),(0.001419901114753495+0.006177766829802542j),(-0.00801425478277313-0.010957031704578178j),(-0.024544024264224484+0.012281172580620081j),(-0.009340203647345493-0.01055350216623213j),(0.0022908966397933816+0.005976048217726395j),(0.002360186626239883-0.006880634030718002j),(-0.0023001560573527057+0.010852056853776411j),(-0.012946103061525337-0.008205726185990105j),(-0.005573424788409269-0.016330105189264338j)
"(-1.6153846153846154, 1.0)",(-0.018110658327684943+0.007622766654351119j),(0.008458777670669501+0.007658172239379466j),(-0.004912769476537026-0.005771619329552306j),(0.006535617310143877+0.0011697943111848295j),(-0.014584345036808253+0.003008830811702118j),(-0.0037632514116722297+0.028762868866258604j),(-0.01296491896345872-0.0015595591074274147j),(0.005157585883926994+0.003913302842867719j),(-0.00236446362898008-0.007571906058896219j),(0.006223008082425199+0.010183284199505569j),(-0.015228093147222215+0.005008760222367256j),(-0.017105764333968397-0.004341890240901243j)
"(-1.4615384615384615, 1.0)",(-0.00206266570095246+0.019797061463714453j),(0.010690904239582273-0.004423291531418031j),(-0.007471161765287224+0.002249036103288041j),(0.0038128398292042735-0.005856458279604363j),(-0.0038086506124755657+0.01617840646786362j),(0.021698085886254333+0.021208413061800446j),(-0.010362516547710759+0.0057010748800455455j),(0.006578716124795429+0.0012018079582151481j),(-0.00671083159575977-0.00557249604841599j),(0.012263948935139091+0.003884420072421971j),(-0.006502583235838549+0.015450062235205451j),(-0.01346259665474289+0.011995381630248134j)
"(-1.3076923076923075, 1.0)",(0.01643789318400774+0.011635998404917374j),(0.0006287308764490209-0.011707707185040323j),(-0.0009587387949116951+0.007988091209827113j),(-0.004165118424838202-0.0061164811122701905j),(0.014792906797694079+0.011910824459204317j),(0.03091347409332036-0.002625438845916613j),(-0.0057833021724317864+0.00877332170930868j),(0.006956186559287314-0.0013596895376471714j),(-0.009499835312774478-0.0017570081986020415j),(0.012983408840074855-0.004912039748308061j),(0.007212708677088207+0.015958368766769353j),(0.002092636306807612+0.018274080407344587j)
