index,x,value
"(0.0769230769230771, -2.5384615384615383)","(0.0769230769230771, -2.5384615384615383)",(-0.28951120800763236-0.1551852453862399j)
"(0.23076923076923084, -2.5384615384615383)","(0.23076923076923084, -2.5384615384615383)",(-0.1721816439685894-0.28178839470961164j)
"(0.384615384615385, -2.5384615384615383)","(0.384615384615385, -2.5384615384615383)",(-0.012066321673349669-0.36161799472534173j)
"(0.5384615384615388, -2.5384615384615383)","(0.5384615384615388, -2.5384615384615383)",(0.16978705939589966-0.35195744675947066j)
"(0.6923076923076925, -2.5384615384615383)","(0.6923076923076925, -2.5384615384615383)",(0.3214604597695448-0.232810257297345j)
"(0.8461538461538463, -2.5384615384615383)","(0.8461538461538463, -2.5384615384615383)",(0.37592004246845984-0.029677319118336383j)
"(1.0, -2.5384615384615383)","(1.0, -2.5384615384615383)",(0.28895721606386854+0.1791329853903883j)
"(1.1538461538461542, -2.5384615384615383)","(1.1538461538461542, -2.5384615384615383)",(0.08146405225537313+0.2892439997989951j)
"(1.3076923076923084, -2.5384615384615383)","(1.3076923076923084, -2.5384615384615383)",(-0.14770708265017712+0.2303177949893807j)
"(1.4615384615384617, -2.5384615384615383)","(1.4615384615384617, -2.5384615384615383)",(-0.2650092846367487+0.026197768342186546j)
"(1.6153846153846159, -2.5384615384615383)","(1.6153846153846159, -2.5384615384615383)",(-0.18981748543452664-0.19704894391452757j)
"(1.7692307692307692, -2.5384615384615383)","(1.7692307692307692, -2.5384615384615383)",(0.03284216314083516-0.2831522833390465j)
"(1.9230769230769234, -2.5384615384615383)","(1.9230769230769234, -2.5384615384615383)",(0.24391517506339924-0.16156301764749648j)
"(2.0769230769230775, -2.5384615384615383)","(2.0769230769230775, -2.5384615384615383)",(0.28041813059202475+0.08325557481357596j)
"(2.230769230769231, -2.5384615384615383)","(2.230769230769231, -2.5384615384615383)",(0.10889058801942907+0.26286092809239664j)
"(2.384615384615385, -2.5384615384615383)","(2.384615384615385, -2.5384615384615383)",(-0.13454226697334765+0.2341734264991394j)
"(2.5384615384615383, -2.5384615384615383)","(2.5384615384615383, -2.5384615384615383)",(-0.2501507498972577+0.026085939779367948j)
"(2.6923076923076925, -2.5384615384615383)","(2.6923076923076925, -2.5384615384615383)",(-0.1479549463271776-0.17795791562991065j)
"(2.8461538461538467, -2.5384615384615383)","(2.8461538461538467, -2.5384615384615383)",(0.06790351289629114-0.20118193150831246j)
"(3.0, -2.5384615384615383)","(3.0, -2.5384615384615383)",(0.1928177633307545-0.03694871772544047j)
"(-3.0, -2.3846153846153846)","(-3.0, -2.3846153846153846)",(-0.0877076513675758-0.337255912751227j)
"(-2.8461538461538463, -2.3846153846153846)","(-2.8461538461538463, -2.3846153846153846)",(-0.3137632907412794-0.14709418778562733j)
"(-2.6923076923076925, -2.3846153846153846)","(-2.6923076923076925, -2.3846153846153846)",(-0.3092357050294545+0.1395606688730247j)
"(-2.5384615384615383, -2.3846153846153846)","(-2.5384615384615383, -2.3846153846153846)",(-0.09667841790589682+0.31183840589885536j)
"(-2.3846153846153846, -2.3846153846153846)","(-2.3846153846153846, -2.3846153846153846)",(0.15561512094887076+0.26639436679103917j)
"(-2.230769230769231, -2.3846153846153846)","(-2.230769230769231, -2.3846153846153846)",(0.27878304081820776+0.06580055210519714j)
"(-2.0769230769230766, -2.3846153846153846)","(-2.0769230769230766, -2.3846153846153846)",(0.22285128763989143-0.1379124735369012j)
"(-1.923076923076923, -2.3846153846153846)","(-1.923076923076923, -2.3846153846153846)",(0.06281076939513143-0.22927876647893913j)
