index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)"
"(-2.6923076923076925, -2.3846153846153846)",(-0.007043776524708762+0.009034005790088898j),(-0.009986035366604164-0.002139517489543926j),(-0.009203868468679367-0.005208132802323635j),(-0.009891355503741543+0.0005709906174130497j),(-0.0009038905140912291+0.008488513044454273j),(0.006369171267081424-0.0031227767800699547j),(-0.006232937698599464-0.00010144427470083848j),(0.006338519446984087+0.0017266052913255136j),(-0.00617915964570446-0.006133923972992615j),(-0.006588638246394918+0.010354148714176472j),(-0.000966288791305775+0.01379887107107757j),(-0.009369870518103968+0.006069991811000783j),(-0.00033598268470523085-0.00782652584881194j),(0.0025437097199005657+0.005763409614599205j),(-0.00407399554721081-0.004936084755934676j),(0.0072341720101388955+0.0019984394457731778j)
"(-2.5384615384615383, -2.3846153846153846)",(0.0033873854316461365+0.01100144667025618j),(-0.007889040005198203+0.006594948296166124j),(-0.010142330036768538+0.0034688313565849694j),(-0.006802703524678701+0.00749998436085293j),(0.004983178817437405+0.007238892668648311j),(0.0032834209356329123-0.006541498083918301j),(-0.005285710016791524+0.0035672512696086804j),(0.0062046031427918005-0.0022038848659467597j),(-0.008528295736550328-0.0010654871776453936j),(0.0022651319388205817+0.012028793638516094j),(0.010118139025887938+0.00993994773045293j),(-0.0004375577724611015+0.011635263655523509j),(-0.007092601869955477-0.003984981474290152j),(0.0064018796621584965+0.0007621813296981404j),(-0.006395258656593401+0.0009558214109253385j),(0.00560002630454014-0.005040007008139979j)
"(-2.3846153846153846, -2.3846153846153846)",(0.010957974264258374+0.003683740132919605j),(0.00017654551730921587+0.010343368257603071j),(-0.004385402951161802+0.009933238097013387j),(0.00017654551730921457+0.010343368257603066j),(0.008682383263625398+0.0025510827596878817j),(-0.0011533162573450885-0.007471422924192264j),(-0.0025663464171473134+0.006010423181749416j),(0.0040709534471309846-0.005205673447280824j),(-0.007476540297513962+0.003981548743495704j),(0.009517242805987173+0.007574423309308264j),(0.014497382479725623-0.0008082002826156971j),(0.009517242805987198+0.007574423309308247j),(-0.007476540297513953+0.003981548743495738j),(0.004070953447130939-0.005205673447280825j),(-0.0025663464171472843+0.006010423181749444j),(-0.0011533162573451102-0.007471422924192263j)
"(-2.230769230769231, -2.3846153846153846)",(0.009515983717510515-0.006638749218830685j),(0.00809018511862354+0.0065324702154228005j),(0.004171323767538045+0.01016845681976638j),(0.007173781155654238+0.007754937711679583j),(0.008696150246085894-0.003349658600063977j),(-0.005258633650204779-0.005781787512141619j),(0.0008782989827627781+0.006652985391105931j),(0.0009426124773083546-0.006576870656968999j),(-0.00411185451201223+0.007252872094856817j),(0.012037376997708715+5.944878427834327e-05j),(0.009771298497321636-0.011154190868770217j),(0.0123659598077915-0.0030038375581157243j),(-0.0008590649187474539+0.008802822944879381j),(-0.0023228131536542716-0.006376448078176142j),(0.0037521319949391247+0.0054395056767884255j),(-0.00686375935611999-0.0032220182886500575j)
"(-2.0769230769230766, -2.3846153846153846)",(0.0005112074933281184-0.01162578472423293j),(0.01027876719260652-0.0018343736729046827j),(0.01024384211311564+0.004313149296338253j),(0.01070275009534313+0.0013008013487942217j),(0.005260572275880293-0.008025082056109318j),(-0.007763268191218017-0.0022612516223118636j),(0.004038645225925602+0.005599389779038931j),(-0.002178143664183275-0.00632950427531101j),(-1.8209890133369433e-05+0.008198323052928735j),(0.009707014237655425-0.0068121435098852j),(-0.0005227181540839267-0.015086139545776063j),(0.0058186829651499265-0.01199243597372373j),(0.007063107186807799+0.005993974710677636j),(-0.006811101918587684-0.0015434924515848195j),(0.0066826192809601535-0.00018390674387279863j),(-0.0065731305662637355+0.0038173011135350654j)
"(-1.923076923076923, -2.3846153846153846)",(-0.008811316487617508-0.007639455411695277j),(0.005549238206190528-0.008880595598673826j),(0.010505519200146095-0.003962898279678362j),(0.009346926901072687-0.005789039515634577j),(-9.967772937370956e-05-0.00987697657705161j),(-0.008153495185148749+0.0018931077208531794j),(0.00625833691396292+0.0033863789516625654j),(-0.0046310099098396465-0.004924837704091021j),(0.003539779182352679+0.0072389673045297025j),(0.004506740830746984-0.010716822571299172j),(-0.01033050859332942-0.011286441204539973j),(-0.005370039809033806-0.012898910759758504j),(0.009461155891452308-0.002291336923089626j),(-0.005226198773030855+0.004959057940627039j),(0.0036143205267219138-0.005721678029514565j),(-0.0007213991511137419+0.007581781360634079j)
"(-1.7692307692307692, -2.3846153846153846)",(-0.0115136531671414+0.0019435239565404492j),(-0.0026480970855028924-0.010148613948322761j),(0.005195174682627296-0.010066612528720273j),(0.00405646841710593-0.010439875695123304j),(-0.005448379079616117-0.008578285727396228j),(-0.006630612216110787+0.005582673484255271j),(0.007315658026510876+0.0006754167991143827j),(-0.006175014063663422-0.002955179446983606j),(0.0059572237257688185+0.00522190249945552j),(-0.0011405096960413817-0.011282736223849125j),(-0.015182561132613551-0.0027154511253496324j),(-0.013653469469577304-0.00529894145109167j),(0.004175237542172545-0.009377997716338127j),(0.0011229935021141659+0.007368082879264219j),(-0.0026701603114145296-0.00631565186383284j),(0.0056689235130332055+0.005102069406267215j)
"(-1.6153846153846154, -2.3846153846153846)",(-0.0060338781878097195+0.010000479011260261j),(-0.009073006551678609-0.005263109490701769j),(-0.0025983148381879175-0.011112451956846426j),(-0.002744871651435485-0.01106026949965705j),(-0.009238324313501547-0.0048780302733057316j),(-0.0038347269915192115+0.008116098066797112j),(0.007334502934325902-0.0019787467693483302j),(-0.00689134334452186-0.0009200049327701759j),(0.0072157849361401795+0.0029507225737956185j),(-0.005578869077181761-0.009488510408701295j),(-0.014134337679897142+0.006219769713581132j),(-0.014188738955428071+0.0058204554536064245j),(-0.004859899407695451-0.009716554297189687j),(0.006865111369880193+0.003564537834250501j),(-0.006777666891771595-0.001559488366578925j),(0.00750856112909864-0.001375043772770371j)
"(-1.4615384615384615, -2.3846153846153846)",(0.003391980074190185+0.011166869599203906j),(-0.010175661474551723+0.002472471712367782j),(-0.009034748234124144-0.0070783769687840226j),(-0.008490401137658574-0.007870900876127265j),(-0.010728323697213452-5.787102315001358e-05j),(-0.0005197911731844416+0.009279124079931799j),(0.006627448827329686-0.004234718786288066j),(-0.007029097505620658+0.000864511855249954j),(0.007625906207046972+0.0009578855404141886j),(-0.008253181688126277-0.006708263776115484j),(-0.009077997149023869+0.012361235889808305j),(-0.007341326593652571+0.014239618802337721j),(-0.011146010414455874-0.00298423821595547j),(0.007304771907783892-0.003401729224915438j),(-0.005415515789612027+0.004534989269024365j),(0.0036397679494214502-0.006712892935666913j)
"(-1.3076923076923075, -2.3846153846153846)",(0.010420320340339292+0.005205848444409535j),(-0.005862152714468532+0.008632282558160216j),(-0.011518459338277828-0.00022828137496564002j),(-0.011499056747317656-0.0023737091182979113j),(-0.009981213535646946+0.004629060553506896j),(0.002688106891198165+0.009232977742999023j),(0.005552786345607708-0.005964976467341773j),(-0.006875048901658368+0.0022544772673066807j),(0.00758083581505079-0.000508536606732938j),(-0.009409334420994614-0.0040369782995666155j),(-0.0028097798244046+0.014827419253220592j),(0.0027738001297188787+0.016433086271320573j),(-0.010545380175052164+0.006321035618845196j),(0.002089941536905809-0.008166288305948304j),(0.00018124189481598098+0.007184095732180157j),(-0.0027780285550022088-0.007112137854017765j)
"(-1.1538461538461537, -2.3846153846153846)",(0.011017066148019441-0.0036697162682792933j),(0.0011266524508807066+0.010314539994080562j),(-0.00958264485699574+0.006428577695768799j),(-0.011345016659328005+0.0035376015323330804j),(-0.007592783539392308+0.008320746160132411j),(0.005402196308241269+0.008344334858506147j),(0.00442456863080236-0.007196842905043765j),(-0.006676742462161525+0.0032182988328764844j),(0.007407666636824392-0.001389607425323488j),(-0.009611511763834355-0.0020728664212717315j),(0.002549607690354383+0.01447847232196389j),(0.011604225101831706+0.012730460649796148j),(-0.0036386921548813875+0.012620249114369908j),(-0.004990400052748965-0.007320441024290675j),(0.0057218591865722266+0.004576922208621349j),(-0.007154553188782503-0.0026575308571231693j)
"(-1.0, -2.3846153846153846)",(0.005491400209740098-0.010174512843816283j),(0.007247475779973721+0.007310345986502787j),(-0.004549290320382597+0.010594572392234537j),(-0.008633497480522744+0.008334608424898186j),(-0.0043495727890399925+0.010655815367144337j),(0.007474982369750634+0.007029719683096189j),(0.003478071070288121-0.008037072401771999j),(-0.006611845580154528+0.0037691364496955948j),(0.0073102608430383464-0.0017047682148015088j),(-0.009379317572366772-0.0010121924359996605j),(0.00608722948991311+0.012800792936074494j),(0.01663301533621923+0.005893896831488419j),(0.005589546365088955+0.012891613855625574j),(-0.009232019798826915-0.001540250621210971j),(0.007390555758672889-0.0012233444928793488j),(-0.006843513292394421+0.0033688811756594603j)
"(-0.8461538461538458, -2.3846153846153846)",(-0.0025751423726287563-0.011205386420473383j),(0.010068533419817088+0.001554858429020584j),(0.0014883214807317555+0.011393668746012695j),(-0.004482392839589682+0.011224558425570384j),(-0.0009602028410075755+0.011692948756022465j),(0.008934005760370272+0.005655222240930803j),(0.0028734036655243844-0.00860577205596746j),(-0.006782001231265843+0.00391160924844614j),(0.007362020839088877-0.0014744488769637453j),(-0.009020033334417428-0.00083841070663225j),(0.007808877402880976+0.011053496578301458j),(0.0178379687022873-0.0010737711614577268j),(0.01287336586739276+0.007750252903161512j),(-0.008245224981535834+0.005553976171586683j),(0.004371187883440785-0.006320194967870385j),(-0.0024961131416561346+0.007204186648549296j)
"(-0.6923076923076921, -2.3846153846153846)",(-0.009015138444633355-0.007009900000138815j),(0.009078868585289595-0.004325953836998873j),(0.006672489203799694+0.009266030824121127j),(-1.668647579523408e-05+0.012138963738038699j),(0.0020825952358136564+0.011744814644184262j),(0.009898570895806012+0.00449531042663343j),(0.002715298877433789-0.008988181298405243j),(-0.007210124055618672+0.0036107894713181985j),(0.007510359567539298-0.0006908532992511368j),(-0.008598126997075017-0.0014613817561215723j),(0.008088002829275126+0.009939217207023917j),(0.016695851102222048-0.006308510112393636j),(0.01602214157457746+4.334312416396037e-05j),(-0.002906647863236565+0.010210216032029562j),(-0.0012133289666638198-0.007821753442869896j),(0.0030318578692826907+0.006996174144046781j)
"(-0.5384615384615383, -2.3846153846153846)",(-0.011328444136990072-0.0001955308048274462j),(0.005341435409953315-0.008336512080181564j),(0.009947985837770023+0.005386189872273084j),(0.003946633350222534+0.01149577592553261j),(0.0045220163628115935+0.011214180622348288j),(0.010505830559233861+0.003733579969520255j),(0.0030703932679036067-0.009202742381825162j),(-0.007828341421804337+0.00278717186141821j),(0.007576868101110287+0.0006621160064884087j),(-0.007967162971733905-0.0027568538436747014j),(0.007254034159734913+0.00963320123415982j),(0.014917401326125235-0.00924944895011448j),(0.015323832431008594-0.00731299065653191j),(0.003974791031959995+0.010674871227451917j),(-0.006228432154106218-0.005322239913814131j),(0.006835477618128497+0.0033974461344821673j)
"(-0.3846153846153846, -2.3846153846153846)",(-0.009379743077330032+0.006176495864678998j),(0.0005645813658136531-0.009704685305355228j),(0.011124855455205532+0.001025566961945641j),(0.006993394669029236+0.009911218860650042j),(0.006284698800311968+0.010478364519208836j),(0.010857054836835559+0.0034825290794818524j),(0.003968912053541067-0.00918203446885702j),(-0.008455780360977624+0.0013432487573163158j),(0.007263261086125112+0.002542318931840145j),(-0.006833659169818876-0.004516030005392665j),(0.005445162290364737+0.009913688325076971j),(0.013672074955514797-0.010085454184128404j),(0.012517493109290323-0.012680102130420758j),(0.009707679450843084+0.007497955614188763j),(-0.008514564184114467-0.0004586526674973829j),(0.007513182361526042-0.0014641612481734738j)
