index,xy,r,theta,value
"(2.38461538, -2.69230769)",[ 2.38461538 -2.69230769],3.596513757538775,-0.8459301837147796,(-0.28713761672272264+0.15638259000114413j)
"(2.53846154, -2.69230769)",[ 2.53846154 -2.69230769],3.7003118365473346,-0.8148014508711163,(-0.2874673405472636-0.14295923463940483j)
"(2.69230769, -2.69230769)",[ 2.69230769 -2.69230769],3.807498049279378,-0.7853981633974483,(-0.04210253635829898-0.3124121353690646j)
"(2.84615385, -2.69230769)",[ 2.84615385 -2.69230769],3.9177943329765226,-0.757627525701483,(0.23351410718706506-0.2030046302799579j)
"(3.0, -2.69230769)",[ 3.         -2.69230769],4.030945385096794,-0.7313966625954057,(0.2912151175453178+0.08571100018671314j)
"(-3.0, -2.53846154)",[-3.         -2.53846154],3.9298583931306195,-2.4393357217819354,(0.1642336684911449-0.34591385983074097j)
"(-2.84615385, -2.53846154)",[-2.84615385 -2.53846154],3.813709313506864,-2.4132752729688294,(-0.15370067967217907-0.35763498301541374j)
"(-2.69230769, -2.53846154)",[-2.69230769 -2.53846154],3.7003118365473346,-2.385597777666013,(-0.37290681762010064-0.13239778016704667j)
"(-2.53846154, -2.53846154)",[-2.53846154 -2.53846154],3.5899267374304933,-2.356194490192345,(-0.36142318277188484+0.1765492227304934j)
"(-2.38461538, -2.53846154)",[-2.38461538 -2.53846154],3.4828404357064247,-2.324954655493784,(-0.14097540145720386+0.3837299549361014j)
"(-2.23076923, -2.53846154)",[-2.23076923 -2.53846154],3.379366560107673,-2.291767650295289,(0.1531688253259918+0.38609601294293744j)
"(-2.07692308, -2.53846154)",[-2.07692308 -2.53846154],3.279847019343411,-2.2565258381302256,(0.36988531039165734+0.20287043101674943j)
"(-1.92307692, -2.53846154)",[-1.92307692 -2.53846154],3.1846525446735723,-2.219128314820314,(0.4235825482332395-0.062927252558547j)
"(-1.76923077, -2.53846154)",[-1.76923077 -2.53846154],3.0941823649510325,-2.179485634041962,(0.3178404677281703-0.2960761836390964j)
