index,xy,inc,scat,tot
"(-2.6923076923076925, -2.5384615384615383)",[-2.69230769 -2.53846154],(-0.29814114148422194-0.9545217963747529j),(-0.15404154800479228-0.10883476412509305j),(-0.4521826894890142-1.0633565604998458j)
"(-2.5384615384615383, -2.5384615384615383)",[-2.53846154 -2.53846154],(0.6415486468831529-0.7670823513042101j),(-0.19289463217423114+0.03019838276988412j),(0.4486540147089218-0.736883968534326j)
"(-2.3846153846153846, -2.5384615384615383)",[-2.38461538 -2.53846154],(0.9922002603118947+0.12465409514736522j),(-0.12727365942775187+0.1580779476923079j),(0.8649266008841427+0.2827320428396731j)
"(-2.230769230769231, -2.5384615384615383)",[-2.23076923 -2.53846154],(0.4318627642675479+0.9019393288016619j),(0.005255748499392979+0.21188581072625462j),(0.43711851276694086+1.1138251395279166j)
"(-2.0769230769230766, -2.5384615384615383)",[-2.07692308 -2.53846154],(-0.5249897205060046+0.8511085673185456j),(0.14168243048383108+0.17154517141519826j),(-0.38330729002217345+1.0226537387337438j)
"(-1.923076923076923, -2.5384615384615383)",[-1.92307692 -2.53846154],(-0.9998226603381379+0.01883209691904994j),(0.22721289060744854+0.059008163377143215j),(-0.7726097697306894+0.07784026029619315j)
"(-1.7692307692307692, -2.5384615384615383)",[-1.76923077 -2.53846154],(-0.5566679807292675-0.8307350716268093j),(0.23531346653622698-0.08085465658936494j),(-0.3213545141930405-0.9115897282161742j)
"(-1.6153846153846154, -2.5384615384615383)",[-1.61538462 -2.53846154],(0.397591652507943-0.9175624653700712j),(0.17013329720889264-0.20264671269950213j),(0.5677249497168356-1.1202091780695733j)
"(-1.4615384615384615, -2.5384615384615383)",[-1.46153846 -2.53846154],(0.98680233349202-0.16192947420004875j),(0.056891376703195454-0.2759274855620681j),(1.0436937101952155-0.4378569597621168j)
"(-1.3076923076923075, -2.5384615384615383)",[-1.30769231 -2.53846154],(0.6699800139089729+0.7423791355921396j),(-0.07178576286736907-0.29079977527461404j),(0.5981942510416038+0.4515793603175256j)
"(-1.1538461538461537, -2.5384615384615383)",[-1.15384615 -2.53846154],(-0.2619847528690048+0.9650720124758393j),(-0.1876100652903068-0.25540495863928087j),(-0.44959481815931157+0.7096670538365584j)
"(-1.0, -2.5384615384615383)",[-1.         -2.53846154],(-0.953408102497344+0.30168359268016903j),(-0.2734908831521169-0.18891191608603397j),(-1.226898985649461+0.11277167659413506j)
"(-0.8461538461538458, -2.5384615384615383)",[-0.84615385 -2.53846154],(-0.7694593795710314-0.6386957516612768j),(-0.32494842272018754-0.11359000189254413j),(-1.094407802291219-0.7522857535538209j)
"(-0.6923076923076921, -2.5384615384615383)",[-0.69230769 -2.53846154],(0.12096881429473288-0.9926563080785445j),(-0.3471823748105322-0.04868814119744283j),(-0.22621356051579933-1.0413444492759873j)
