index,cp
"(2, (55,))",(0.036020153724543466-4.884981308350693e-17j)
"(2, (56,))",(-0.03565968191369264-0.005083164383925207j)
"(2, (57,))",(0.034585481326885215+0.01006458919814515j)
"(2, (58,))",(-0.03281905209616964-0.014844571191134056j)
"(2, (59,))",(0.030395749314607624+0.019327438990801457j)
"(2, (60,))",(-0.020765023155032498-0.0546965065283994j)
"(2, (61,))",(-0.05064586085725508-0.043352522677141396j)
"(2, (62,))",(-0.05064586085725497-0.043352522677141306j)
"(2, (63,))",(-0.05064586085725497-0.043352522677141306j)
"(2, (64,))",(-0.05064586085725508-0.043352522677141396j)
"(2, (65,))",(-0.05064586085725508-0.043352522677141396j)
"(2, (66,))",(-0.05064586085725508-0.043352522677141396j)
"(2, (67,))",(-0.05064586085725497-0.043352522677141306j)
"(2, (68,))",(-0.05064586085725443-0.04335252267714083j)
"(2, (69,))",(-0.05064586085725451-0.043352522677140924j)
"(2, (70,))",(-0.05064586085725508-0.043352522677141396j)
"(2, (71,))",(-0.05064586085725508-0.043352522677141396j)
"(2, (72,))",(-0.05064586085725497-0.043352522677141306j)
"(2, (73,))",(-0.05064586085725508-0.043352522677141396j)
"(2, (74,))",(-0.05064586085725508-0.043352522677141396j)
"(2, (75,))",(-0.05064586085725497-0.043352522677141306j)
"(2, (76,))",(-0.05064586085725508-0.043352522677141396j)
"(2, (77,))",(-0.050645860857254414-0.04335252267714083j)
"(2, (78,))",(-0.05064586085725451-0.04335252267714092j)
"(2, (79,))",(-0.05064586085725481-0.04335252267714116j)
"(2, (80,))",(-0.05064586085725458-0.043352522677140966j)
"(2, (81,))",(-0.05064586085725508-0.043352522677141396j)
"(2, (82,))",(-0.05064586085725531-0.04335252267714159j)
"(2, (83,))",(-0.05064586085725508-0.043352522677141396j)
"(2, (84,))",(-0.05064586085725486-0.0433525226771412j)
"(2, (85,))",(-0.05064586085725486-0.0433525226771412j)
"(2, (86,))",(-0.05064586085725453-0.043352522677140924j)
"(2, (87,))",(-0.05064586085725475-0.043352522677141105j)
"(2, (88,))",(-0.05064586085725508-0.043352522677141396j)
"(2, (89,))",(-0.05064586085725486-0.0433525226771412j)
"(2, (90,))",(-0.05064586085725486-0.0433525226771412j)
"(2, (91,))",(-0.05064586085725508-0.043352522677141396j)
"(2, (92,))",(-0.05064586085725531-0.04335252267714159j)
"(2, (93,))",(-0.05064586085725508-0.043352522677141396j)
"(2, (94,))",(-0.05064586085725486-0.0433525226771412j)
"(2, (95,))",(-0.0506458608572543-0.04335252267714073j)
"(2, (96,))",(-0.05064586085725451-0.04335252267714092j)
"(2, (97,))",(-0.05064586085725531-0.04335252267714159j)
"(2, (98,))",(-0.05064586085725508-0.043352522677141396j)
"(2, (99,))",(-0.05064586085725486-0.0433525226771412j)
