index,x,value
"(0.16944145561257276, -0.5)","(0.16944145561257276, -0.5)",(6.469120408861457+2.4342339278452663j)
"(0.17292812986055495, -0.5)","(0.17292812986055495, -0.5)",(6.933608448014785-0.115702838354387j)
"(0.1764148041085371, -0.5)","(0.1764148041085371, -0.5)",(9.513138680642221+4.470924939214937j)
"(0.17990147835651915, -0.5)","(0.17990147835651915, -0.5)",(15.338400493819373-3.8490685416017216j)
"(0.18338815260450134, -0.5)","(0.18338815260450134, -0.5)",(4.257766059078802-3.7114378234467336j)
"(0.1868748268524835, -0.5)","(0.1868748268524835, -0.5)",(18.60942708498938-4.846737911120671j)
"(0.19036150110046562, -0.5)","(0.19036150110046562, -0.5)",(11.857249508018471-5.62636529460754j)
"(0.1938481753484478, -0.5)","(0.1938481753484478, -0.5)",(0.9282566475664571-9.790666470415747j)
"(0.19733484959642988, -0.5)","(0.19733484959642988, -0.5)",(8.47774759107975-13.27636973967253j)
"(0.20082152384441204, -0.5)","(0.20082152384441204, -0.5)",(14.457084968151912-13.415427827027468j)
"(0.20430819809239423, -0.5)","(0.20430819809239423, -0.5)",(5.65240352910553-10.676657312800373j)
"(0.20779487234037639, -0.5)","(0.20779487234037639, -0.5)",(3.9502237890824716-13.79058952372045j)
"(0.21128154658835854, -0.5)","(0.21128154658835854, -0.5)",(3.9132149605776854-8.287953759450946j)
"(0.2147682208363407, -0.5)","(0.2147682208363407, -0.5)",(0.16355149567724436-11.083730577961834j)
"(0.21825489508432278, -0.5)","(0.21825489508432278, -0.5)",(-1.12718363965546-6.958810542079187j)
"(0.22174156933230496, -0.5)","(0.22174156933230496, -0.5)",(3.1556975843720116-6.6275460478609585j)
"(0.22522824358028712, -0.5)","(0.22522824358028712, -0.5)",(1.438223317464145-9.397080234852165j)
"(0.22871491782826928, -0.5)","(0.22871491782826928, -0.5)",(-2.7591633220115073-5.6935735561333445j)
"(0.23220159207625146, -0.5)","(0.23220159207625146, -0.5)",(-2.4841760133469126-5.010659754266408j)
"(0.23568826632423354, -0.5)","(0.23568826632423354, -0.5)",(-1.930105369728365-1.1032049371655228j)
"(0.2391749405722157, -0.5)","(0.2391749405722157, -0.5)",(-8.026797786292493+7.755695775861294j)
"(0.24266161482019788, -0.5)","(0.24266161482019788, -0.5)",(-7.458823704130162+14.029231118368383j)
"(0.24614828906818004, -0.5)","(0.24614828906818004, -0.5)",(-1.9451062369937602+13.003482730883244j)
"(0.24963496331616222, -0.5)","(0.24963496331616222, -0.5)",(-11.386384411055195+18.439630562832466j)
"(0.2531216375641444, -0.5)","(0.2531216375641444, -0.5)",(-2.1074480733437264+4.957001882144741j)
"(0.25660831181212646, -0.5)","(0.25660831181212646, -0.5)",(-10.445407705957512+24.18761738256048j)
"(0.26009498606010867, -0.5)","(0.26009498606010867, -0.5)",(-11.749082061599532+30.691659874298562j)
"(0.2635816603080908, -0.5)","(0.2635816603080908, -0.5)",(-6.293626845951335+15.978587156802222j)
"(0.26706833455607304, -0.5)","(0.26706833455607304, -0.5)",(-3.4808023495900344+14.994747053899607j)
"(0.2705550088040552, -0.5)","(0.2705550088040552, -0.5)",(-2.0236951832424372+19.602438208612885j)
"(0.27404168305203724, -0.5)","(0.27404168305203724, -0.5)",(-3.4555354629210977+20.8908853265154j)
"(0.27752835730001946, -0.5)","(0.27752835730001946, -0.5)",(0.4268398961505695+15.979680124485366j)
"(0.2810150315480016, -0.5)","(0.2810150315480016, -0.5)",(6.007167975758439+13.65641631306826j)
"(0.2845017057959838, -0.5)","(0.2845017057959838, -0.5)",(3.2980147910539523+19.740478234445753j)
"(0.287988380043966, -0.5)","(0.287988380043966, -0.5)",(21.27661381378148+9.723254272094717j)
"(0.29147505429194803, -0.5)","(0.29147505429194803, -0.5)",(4.080794530769451+15.806590211075468j)
"(0.2949617285399302, -0.5)","(0.2949617285399302, -0.5)",(7.580254142822683+8.85750503343145j)
"(0.29844840278791235, -0.5)","(0.29844840278791235, -0.5)",(20.924368566004436+14.464482295834156j)
"(0.3019350770358945, -0.5)","(0.3019350770358945, -0.5)",(2.259233309606464+18.868755645481816j)
"(0.30542175128387666, -0.5)","(0.30542175128387666, -0.5)",(-9.055867349027384+16.24028548260779j)
"(0.3089084255318587, -0.5)","(0.3089084255318587, -0.5)",(-12.41392036218558+19.632100589992994j)
"(0.31239509977984087, -0.5)","(0.31239509977984087, -0.5)",(-3.5805027627008164+16.431853811048853j)
"(0.315881774027823, -0.5)","(0.315881774027823, -0.5)",(-1.2957367052668425+21.733612565769167j)
"(0.3193684482758052, -0.5)","(0.3193684482758052, -0.5)",(-12.394525326313987+25.765830666617674j)
"(0.32285512252378734, -0.5)","(0.32285512252378734, -0.5)",(-21.16941132250525+28.94273747286293j)
"(0.3263417967717695, -0.5)","(0.3263417967717695, -0.5)",(-12.909832030272087+19.825623630090497j)
"(0.32982847101975155, -0.5)","(0.32982847101975155, -0.5)",(-21.042978396084596+21.487682018159354j)
"(0.3333151452677337, -0.5)","(0.3333151452677337, -0.5)",(-27.717559340799028+28.612907714317995j)
"(0.33680181951571586, -0.5)","(0.33680181951571586, -0.5)",(-23.66433833931179+21.997642650507448j)
"(0.3402884937636981, -0.5)","(0.3402884937636981, -0.5)",(-16.52589798174014+9.519283136006635j)
"(0.3437751680116802, -0.5)","(0.3437751680116802, -0.5)",(-28.61773270563818+15.895383657389758j)
"(0.3472618422596623, -0.5)","(0.3472618422596623, -0.5)",(-20.330152233805546+7.890207994551764j)
"(0.3507485165076445, -0.5)","(0.3507485165076445, -0.5)",(-19.718898631554193+12.640149511637851j)
"(0.3542351907556266, -0.5)","(0.3542351907556266, -0.5)",(-21.325812264514024+3.691360853563598j)
"(0.35772186500360875, -0.5)","(0.35772186500360875, -0.5)",(-17.818586231774653-2.7906197347460004j)
"(0.36120853925159097, -0.5)","(0.36120853925159097, -0.5)",(-19.227623769702646-9.653584707577442j)
"(0.3646952134995731, -0.5)","(0.3646952134995731, -0.5)",(-19.32211489091001-18.37046554692744j)
"(0.3681818877475552, -0.5)","(0.3681818877475552, -0.5)",(-14.231980429777868-8.749453540356615j)
"(0.3716685619955375, -0.5)","(0.3716685619955375, -0.5)",(-10.207300515908816-3.5733958666265018j)
"(0.37515523624351954, -0.5)","(0.37515523624351954, -0.5)",(-8.5077467345612-3.039481927362197j)
"(0.37864191049150164, -0.5)","(0.37864191049150164, -0.5)",(-5.094436738622131-3.8803474322048466j)
"(0.38212858473948397, -0.5)","(0.38212858473948397, -0.5)",(1.3918222815370525+5.757690987833744j)
"(0.385615258987466, -0.5)","(0.385615258987466, -0.5)",(-2.27589998536935-2.64645094670187j)
"(0.3891019332354483, -0.5)","(0.3891019332354483, -0.5)",(-2.2700417015128527+1.6682064626008128j)
"(0.3925886074834304, -0.5)","(0.3925886074834304, -0.5)",(-8.836892888368386-0.04399517861910052j)
"(0.3960752817314125, -0.5)","(0.3960752817314125, -0.5)",(3.7338752415604666+4.364535229861672j)
"(0.39956195597939476, -0.5)","(0.39956195597939476, -0.5)",(-1.2346785554518984-0.9768458018260391j)
