index,x,value
"(0.11705685618729067, -2.0)","(0.11705685618729067, -2.0)",(0.2961301262562296-0.4843206095002644j)
"(0.1505016722408028, -2.0)","(0.1505016722408028, -2.0)",(-0.37758772133317775-0.7388487065281076j)
"(0.18394648829431404, -2.0)","(0.18394648829431404, -2.0)",(0.04928587755740138+0.9079030734756807j)
"(0.21739130434782616, -2.0)","(0.21739130434782616, -2.0)",(0.2296516394815173+0.7507448538373753j)
"(0.2508361204013374, -2.0)","(0.2508361204013374, -2.0)",(-0.3252421326882417+0.7360025847426493j)
"(0.28428093645484953, -2.0)","(0.28428093645484953, -2.0)",(0.04865475151732394+0.13448379056887363j)
"(0.31772575250836077, -2.0)","(0.31772575250836077, -2.0)",(-0.18721115377288275+0.6543336958113921j)
"(0.3511705685618729, -2.0)","(0.3511705685618729, -2.0)",(-0.42016617110723203+0.5455312498103828j)
"(0.38461538461538414, -2.0)","(0.38461538461538414, -2.0)",(-0.47392933085807143+1.0638107151143998j)
"(0.41806020066889626, -2.0)","(0.41806020066889626, -2.0)",(-0.37365589970563606+0.4055574465969998j)
"(0.4515050167224075, -2.0)","(0.4515050167224075, -2.0)",(0.48924160644883224+1.0763978208655633j)
"(0.48494983277591963, -2.0)","(0.48494983277591963, -2.0)",(0.6601060810127558-1.1191873293491146j)
"(0.5183946488294309, -2.0)","(0.5183946488294309, -2.0)",(0.12013510446833914+0.1272132707686879j)
"(0.551839464882943, -2.0)","(0.551839464882943, -2.0)",(0.2320756011997326+0.9144298911126447j)
"(0.5852842809364542, -2.0)","(0.5852842809364542, -2.0)",(0.08058027016165034-0.5100063404222867j)
"(0.6187290969899664, -2.0)","(0.6187290969899664, -2.0)",(0.6892982080717168+0.7236089910594912j)
"(0.6521739130434776, -2.0)","(0.6521739130434776, -2.0)",(0.07003949351428873+1.2285261847518472j)
"(0.6856187290969897, -2.0)","(0.6856187290969897, -2.0)",(0.06999148096509542-0.2884315872115253j)
"(0.7190635451505019, -2.0)","(0.7190635451505019, -2.0)",(0.8373852746314834-0.530375362467512j)
"(0.7525083612040131, -2.0)","(0.7525083612040131, -2.0)",(0.30337645581429035-0.13232873009974114j)
"(0.7859531772575252, -2.0)","(0.7859531772575252, -2.0)",(-0.05683053837799825-0.23911791824428905j)
"(0.8193979933110365, -2.0)","(0.8193979933110365, -2.0)",(0.7388620169616059-0.06406886182239077j)
"(0.8528428093645486, -2.0)","(0.8528428093645486, -2.0)",(-0.1782982200009966+0.34528305831887085j)
"(0.8862876254180598, -2.0)","(0.8862876254180598, -2.0)",(0.14466710335453914+0.49184798181509704j)
"(0.919732441471572, -2.0)","(0.919732441471572, -2.0)",(-0.5626544635247002+0.3406675646744978j)
"(0.9531772575250832, -2.0)","(0.9531772575250832, -2.0)",(0.37458325935428444+0.040813235674578265j)
"(0.9866220735785953, -2.0)","(0.9866220735785953, -2.0)",(0.2752580053487593+0.10684327105769742j)
"(1.0200668896321066, -2.0)","(1.0200668896321066, -2.0)",(0.8203149126112781+0.20157843138044668j)
"(1.0535117056856187, -2.0)","(1.0535117056856187, -2.0)",(1.17750997131607+0.5872698907197074j)
"(1.08695652173913, -2.0)","(1.08695652173913, -2.0)",(0.7988446439586715+0.9337043802547969j)
"(1.120401337792642, -2.0)","(1.120401337792642, -2.0)",(0.5033703685297065+1.0727804102704694j)
"(1.1538461538461533, -2.0)","(1.1538461538461533, -2.0)",(-0.8493473213823577+0.6359914059257012j)
"(1.1872909698996654, -2.0)","(1.1872909698996654, -2.0)",(0.2881371499680226-0.11490620565807078j)
"(1.2207357859531767, -2.0)","(1.2207357859531767, -2.0)",(-0.3776690130353497+0.2075656896805862j)
"(1.2541806020066888, -2.0)","(1.2541806020066888, -2.0)",(0.7392771930929907+1.0482441325588692j)
"(1.2876254180602, -2.0)","(1.2876254180602, -2.0)",(0.021288020076734974+0.688648952948798j)
"(1.3210702341137122, -2.0)","(1.3210702341137122, -2.0)",(-1.064200157234886+0.4292501304758559j)
"(1.3545150501672234, -2.0)","(1.3545150501672234, -2.0)",(-0.35587607216855094+1.1989379900301578j)
"(1.3879598662207355, -2.0)","(1.3879598662207355, -2.0)",(0.2871063500144096+0.724168777776973j)
"(1.4214046822742468, -2.0)","(1.4214046822742468, -2.0)",(-0.1995544636451483+0.9831940173969026j)
"(1.454849498327759, -2.0)","(1.454849498327759, -2.0)",(0.18728844767695357+0.10445597690062719j)
"(1.488294314381271, -2.0)","(1.488294314381271, -2.0)",(-0.1526464724867601+0.5264632991905813j)
"(1.5217391304347823, -2.0)","(1.5217391304347823, -2.0)",(-0.5492425797638552+0.7849269046598928j)
"(1.5551839464882944, -2.0)","(1.5551839464882944, -2.0)",(0.0017649303396465844+0.24359457372888985j)
"(1.5886287625418056, -2.0)","(1.5886287625418056, -2.0)",(-0.6789440698564942-0.3875288887711695j)
"(1.6220735785953178, -2.0)","(1.6220735785953178, -2.0)",(-0.6672269512729287+0.8880585244031403j)
"(1.655518394648829, -2.0)","(1.655518394648829, -2.0)",(-0.01983418401205087+0.6416033550652297j)
"(1.6889632107023411, -2.0)","(1.6889632107023411, -2.0)",(-0.3034440356824871-0.18051593835468166j)
"(1.7224080267558524, -2.0)","(1.7224080267558524, -2.0)",(-0.633466648191589-0.041830964541411414j)
"(1.7558528428093645, -2.0)","(1.7558528428093645, -2.0)",(-0.9023063681319241-0.707398760047533j)
"(1.7892976588628757, -2.0)","(1.7892976588628757, -2.0)",(-0.1930079330257499-0.0013469827655469384j)
"(1.8227424749163879, -2.0)","(1.8227424749163879, -2.0)",(-0.6967399372555931+0.035214600725788234j)
"(1.856187290969899, -2.0)","(1.856187290969899, -2.0)",(-0.3538865402883608+0.6438630302179166j)
"(1.8896321070234112, -2.0)","(1.8896321070234112, -2.0)",(-0.04283541651514187-0.5493460947614234j)
"(1.9230769230769225, -2.0)","(1.9230769230769225, -2.0)",(-0.018755627903127015-0.12052267793628696j)
"(1.9565217391304346, -2.0)","(1.9565217391304346, -2.0)",(-0.3418120780985023-0.5270746515745356j)
"(1.9899665551839458, -2.0)","(1.9899665551839458, -2.0)",(-0.29549365084228635+0.38794067930841286j)
"(2.023411371237458, -2.0)","(2.023411371237458, -2.0)",(0.14112743570878186-0.44359797815225266j)
"(2.056856187290969, -2.0)","(2.056856187290969, -2.0)",(-0.11824619544241838+0.26204701798039265j)
"(2.0903010033444813, -2.0)","(2.0903010033444813, -2.0)",(0.8876648919902402-0.6351099354816913j)
"(2.1237458193979926, -2.0)","(2.1237458193979926, -2.0)",(0.16674151428668785-0.1506593456619591j)
"(2.1571906354515047, -2.0)","(2.1571906354515047, -2.0)",(1.2523444292396761-0.0397471762719238j)
"(2.190635451505017, -2.0)","(2.190635451505017, -2.0)",(0.29294277772085586+0.5108728255333949j)
"(2.224080267558528, -2.0)","(2.224080267558528, -2.0)",(-0.6633791555391906-0.11944606485982577j)
"(2.25752508361204, -2.0)","(2.25752508361204, -2.0)",(-0.721513301433553-0.344025704848948j)
"(2.2909698996655514, -2.0)","(2.2909698996655514, -2.0)",(-0.36637928521714247-0.2923862940042564j)
"(2.3244147157190636, -2.0)","(2.3244147157190636, -2.0)",(0.1980658540515986-0.024510787632622752j)
"(2.357859531772575, -2.0)","(2.357859531772575, -2.0)",(0.23631945371927904+0.6047763041771623j)
"(2.391304347826087, -2.0)","(2.391304347826087, -2.0)",(-0.46383788385455327+0.44192773840248945j)
"(2.424749163879598, -2.0)","(2.424749163879598, -2.0)",(-0.23859282922472996+0.5960761871875544j)
"(2.4581939799331103, -2.0)","(2.4581939799331103, -2.0)",(0.24689306484441362+0.10346559618780429j)
"(2.4916387959866215, -2.0)","(2.4916387959866215, -2.0)",(-0.4488326858403486+0.46798221091999653j)
"(2.5250836120401337, -2.0)","(2.5250836120401337, -2.0)",(-0.2265518478217191+0.4409193860691456j)
"(2.558528428093645, -2.0)","(2.558528428093645, -2.0)",(0.20893483961371206+0.3307787395293443j)
"(2.591973244147157, -2.0)","(2.591973244147157, -2.0)",(0.47276524729493885-0.007169455321384233j)
"(2.6254180602006683, -2.0)","(2.6254180602006683, -2.0)",(-0.1332426202408578-0.3282585301929458j)
"(2.6588628762541804, -2.0)","(2.6588628762541804, -2.0)",(-0.19294797861517435-0.24600116215458834j)
"(2.6923076923076916, -2.0)","(2.6923076923076916, -2.0)",(0.14357353631724656+0.04671367050704231j)
"(2.7257525083612038, -2.0)","(2.7257525083612038, -2.0)",(-0.11110048333426836+0.08364034372869235j)
"(2.759197324414715, -2.0)","(2.759197324414715, -2.0)",(-0.0049847345498976355-0.1556644393329488j)
"(2.792642140468227, -2.0)","(2.792642140468227, -2.0)",(0.011615249458447966+0.5601753282202795j)
"(2.8260869565217384, -2.0)","(2.8260869565217384, -2.0)",(0.264354242028651-0.103437116383902j)
"(2.8595317725752505, -2.0)","(2.8595317725752505, -2.0)",(-0.24134552646675-0.20165213470009302j)
"(2.8929765886287626, -2.0)","(2.8929765886287626, -2.0)",(0.07905296485774381+0.4339722610470256j)
"(2.926421404682274, -2.0)","(2.926421404682274, -2.0)",(0.5935419261070005-0.14440109057978137j)
"(2.959866220735786, -2.0)","(2.959866220735786, -2.0)",(0.28294735373193525+0.045829738268916655j)
"(2.993311036789297, -2.0)","(2.993311036789297, -2.0)",(0.4504406869499452-0.04745429132694186j)
"(3.0267558528428093, -2.0)","(3.0267558528428093, -2.0)",(0.2677776636368037+0.0602042414552979j)
"(3.0602006688963215, -2.0)","(3.0602006688963215, -2.0)",(-0.6730910657993977-0.2585425621611009j)
"(3.093645484949832, -2.0)","(3.093645484949832, -2.0)",(-0.6217390491087871+0.21157388076301328j)
"(3.127090301003344, -2.0)","(3.127090301003344, -2.0)",(0.4400842590542005-0.08458236756441193j)
"(3.160535117056856, -2.0)","(3.160535117056856, -2.0)",(-0.4070204409140429-0.21100373230581812j)
"(3.193979933110368, -2.0)","(3.193979933110368, -2.0)",(-0.2439618684460987+0.42194154606411494j)
"(3.2274247491638786, -2.0)","(3.2274247491638786, -2.0)",(-0.31689730771861835-0.18281008962104728j)
"(3.2608695652173907, -2.0)","(3.2608695652173907, -2.0)",(-0.11882477912208164+0.13403003633637714j)
"(3.294314381270903, -2.0)","(3.294314381270903, -2.0)",(-0.08434463227552139+0.10287626842199232j)
"(3.327759197324415, -2.0)","(3.327759197324415, -2.0)",(-0.12202602898259757+0.3525839012624174j)
"(3.3612040133779253, -2.0)","(3.3612040133779253, -2.0)",(0.056481272684744455+0.0018502858368935754j)
"(3.3946488294314374, -2.0)","(3.3946488294314374, -2.0)",(-0.35073419517972726-0.41781389087992654j)
"(3.4280936454849495, -2.0)","(3.4280936454849495, -2.0)",(-0.5171151894729084+0.5013602860930411j)
"(3.4615384615384617, -2.0)","(3.4615384615384617, -2.0)",(-0.3653957560040323-0.18072877370297985j)
"(3.494983277591972, -2.0)","(3.494983277591972, -2.0)",(-0.8546041419987971+0.014010377689804275j)
