index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)"
"(3.2105263157894735, -6.714285714285714)",(-0.0017336921489857337+0.0016777465969722918j),(0.0009707155726836312-0.0018810641102452487j),(0.0006116088150508463+3.90142968026678e-05j),(-0.0017211085758008456+0.0007728171282122226j),(0.0015830088653438525-0.0027868967116911995j),(-0.004632701621297736+0.001392731862188158j),(0.0007309611695544712-0.0036020849168090334j),(0.0005915959282711724+0.002459071488806474j),(0.0006579906037947395-0.00100838936964159j),(-0.00044933557977401046+0.0004723009732367506j)
"(3.473684210526316, -6.714285714285714)",(0.0014572489825055537+0.0013215966524386048j),(-0.0016453404011940527-0.00021470927571126441j),(-0.0006934432057314658+8.298601238553235e-05j),(0.0009923884960663914-0.000344580650769124j),(-0.0009093095552966809+0.0021785076634215305j),(0.003804085453169495-0.00264270901634366j),(-0.00014635422013967037+0.00336285375325991j),(-0.0003769914587980986-0.0016908006366621083j),(-0.00029750425698176695+0.0005013839227272059j),(0.0008136853634604715-0.00020983566073111523j)
"(3.7368421052631575, -6.714285714285714)",(0.001337944089287394-0.0009669854979053659j),(-0.00013838134269402794+0.0013064526292864286j),(0.0007180501380134024+0.0004654154009857554j),(-0.00045632555015905286+0.0002326213071193073j),(0.0006774548674635476-0.0014278732289185882j),(-0.003287375569822151+0.0029364193623702462j),(0.00023777309074827344-0.00304122317446616j),(8.759478770712327e-05+0.0010332427764851134j),(7.196090079032292e-05-0.0004845883555662872j),(-0.0005647828962284984-0.0005913573310024278j)
"(4.0, -6.714285714285714)",(-0.0002691482095684281-0.0014418047430480678j),(0.0010361110657967439+0.00044933241270277667j),(0.00010647214717604776-0.000776514426583472j),(0.0003780615082083932-0.00036743002328900416j),(-0.0005048850111500668+0.0007605423640989174j),(0.003278937468435891-0.0025724075382159203j),(-0.0007976091758451838+0.002615233704515184j),(-2.0456727431545957e-05-0.0005175457946946456j),(-0.00035338925932238644+0.0005810284501752999j),(-0.0003315365080371387+0.0004659336513752288j)
"(-1.0, -6.428571428571429)",(-0.004704258340036647-0.004581195443575936j),(0.002685144220041204-0.0069015481055466335j),(-0.007862847020322184-0.00444416388945891j),(-0.0012985934144621417+0.008685978236210316j),(0.008414793816332733-0.0006663862128650734j),(0.0010568877867773827-0.005494503927286603j),(-0.0027959821930147507-0.005164969956322318j),(0.005278905484420448-0.006929859985612283j),(0.006718318003424758+0.006256093179807364j),(-0.007809065675616379+0.005683352594592087j)
"(-0.736842105263158, -6.428571428571429)",(-0.006084031584409042+0.0033988555220869484j),(-0.007127651155680766-0.002653953819700903j),(-0.006202246857209052+0.00758065901867465j),(0.007980676089334166+0.004709830248294137j),(0.003919267226248616-0.007846180541305179j),(-0.0038347143449067797-0.004225677140058725j),(-0.005589502629158255-0.0018972575534221727j),(-0.0014187127686906681-0.00884997203622041j),(0.00938436935935593-0.0017598439730726271j),(0.0016725100866317748+0.010097519954421586j)
"(-0.4736842105263158, -6.428571428571429)",(-0.0014848074710791857+0.007097191536755341j),(-0.005360894875589033+0.005572860145924617j),(0.003480649694450576+0.009721238726778476j),(0.009065271846343878-0.0031774183123936804j),(-0.0025767832664026873-0.008626199843434964j),(-0.00571908945214587-0.000913888700311753j),(-0.005831034231697144+0.0009871375261490869j),(-0.005817569720874255-0.007027451959016482j),(0.006807415657057392-0.007022324808154544j),(0.00825654590571079+0.006640966844509157j)
"(-0.21052631578947367, -6.428571428571429)",(0.001569788168234782+0.007251552668303814j),(-0.0003014342559688461+0.007782743510285477j),(0.008931179299669918+0.0057921635062206595j),(0.00619881208070451-0.007606031622870463j),(-0.0063391052192643075-0.006591424294888218j),(-0.0056512684439554905+0.0015242201912043893j),(-0.005420512193639542+0.0023463956405003843j),(-0.007451852405849179-0.005391018515579707j),(0.0045413133285856526-0.008783150448154003j),(0.010179744959977071+0.0034897317780355004j)
"(0.05263157894736836, -6.428571428571429)",(0.001427258050832303+0.007347819681591589j),(0.0019118120674974474+0.0075318684929158615j),(0.0102698086386852+0.0032519449655257797j),(0.004368959904796016-0.008878198954168795j),(-0.007547524434256905-0.005265017724897599j),(-0.005354704109131828+0.0024600016557168904j),(-0.005428140997455757+0.002259076968522491j),(-0.007294507414904452-0.005588880630044654j),(0.004812608108589076-0.008624226429535161j),(0.010024307870844374+0.0038647969392904677j)
"(0.3157894736842104, -6.428571428571429)",(-0.001995532051818228+0.007183851405643086j),(0.0007194265621012351+0.007638497114759691j),(0.0097728703932151+0.004399580770631231j),(0.005198380590024274-0.008377422985303534j),(-0.007055590437110722-0.0058692703018803916j),(-0.005567952086296391+0.0019868851518147976j),(-0.005785684700608579+0.0007281651508343217j),(-0.005205841901911017-0.007462090983502162j),(0.007417300083565083-0.006320335863938909j),(0.0074174455974139+0.007489877261317315j)
