index,x,value
"(1.1440677966101696, -1.4491525423728813)","(1.1440677966101696, -1.4491525423728813)",(0.018033241065601537+0.009633286332326919j)
"(1.1949152542372885, -1.4491525423728813)","(1.1949152542372885, -1.4491525423728813)",(0.004681746023825529+0.01854101030661426j)
"(1.245762711864407, -1.4491525423728813)","(1.245762711864407, -1.4491525423728813)",(-0.010078086594190632+0.014807906882206739j)
"(1.2966101694915255, -1.4491525423728813)","(1.2966101694915255, -1.4491525423728813)",(-0.0166918388775737+0.001967872294818714j)
"(1.3474576271186445, -1.4491525423728813)","(1.3474576271186445, -1.4491525423728813)",(-0.011578949111759133-0.010752960887324562j)
"(1.398305084745763, -1.4491525423728813)","(1.398305084745763, -1.4491525423728813)",(0.0007797765864590454-0.014866497052755738j)
"(1.4491525423728815, -1.4491525423728813)","(1.4491525423728815, -1.4491525423728813)",(0.01131087681993273-0.008341669772587552j)
"(1.5, -1.4491525423728813)","(1.5, -1.4491525423728813)",(0.012865518683240052+0.0033530401115541915j)
"(-1.5, -1.3983050847457628)","(-1.5, -1.3983050847457628)",(-0.0028146639262823596-0.008968887842821948j)
"(-1.4491525423728813, -1.3983050847457628)","(-1.4491525423728813, -1.3983050847457628)",(-0.008197251085436305-0.004726000714237217j)
"(-1.3983050847457628, -1.3983050847457628)","(-1.3983050847457628, -1.3983050847457628)",(-0.00934917131258672+0.0019530389204911376j)
"(-1.347457627118644, -1.3983050847457628)","(-1.347457627118644, -1.3983050847457628)",(-0.005869512289879477+0.007689465916462461j)
"(-1.2966101694915255, -1.3983050847457628)","(-1.2966101694915255, -1.3983050847457628)",(0.00042706077222370116+0.009827045221419093j)
"(-1.2457627118644068, -1.3983050847457628)","(-1.2457627118644068, -1.3983050847457628)",(0.006620747350562549+0.007553747648371698j)
"(-1.194915254237288, -1.3983050847457628)","(-1.194915254237288, -1.3983050847457628)",(0.01010496482644253+0.002005861767436163j)
"(-1.1440677966101696, -1.3983050847457628)","(-1.1440677966101696, -1.3983050847457628)",(0.009617270729336136-0.004480800629420696j)
"(-1.0932203389830508, -1.3983050847457628)","(-1.0932203389830508, -1.3983050847457628)",(0.005527702833569178-0.00946923054063176j)
"(-1.042372881355932, -1.3983050847457628)","(-1.042372881355932, -1.3983050847457628)",(-0.0005664367350057945-0.011343302790612448j)
